id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,kulczynski,imbalance_ratio
1,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1622,0.211,0.1524,0.939581,0.830928,0.221014
2,"['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.138,0.1988,0.1294,0.937681,0.794293,0.293153
3,"['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.154,0.211,0.1434,0.931169,0.805395,0.25722
4,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1646,0.1988,0.1524,0.925881,0.84624,0.162085
5,"['Indiana Jones and the Last Crusade (1989)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1142,0.1622,0.1034,0.905429,0.771457,0.277457
6,"['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1434,0.1956,0.1294,0.902371,0.781963,0.249046
7,"['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1544,0.211,0.138,0.893782,0.773905,0.248901
8,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1126,0.1658,0.1002,0.889876,0.747109,0.298541
9,['Batman Forever (1995)'],['Batman (1989)'],0.1346,0.1972,0.1196,0.888559,0.747525,0.295005
10,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1172,0.1362,0.1036,0.883959,0.822303,0.126836
11,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1134,0.154,0.1002,0.883598,0.767124,0.242823
12,"['Godfather: Part II, The (1974)']","['Godfather, The (1972)']",0.1434,0.211,0.1266,0.882845,0.741422,0.296752
13,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1362,0.1988,0.12,0.881057,0.742339,0.291163
14,"['Indiana Jones and the Last Crusade (1989)', 'Star Wars: Episode IV - A New Hope (1977)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1176,0.1534,0.1034,0.879252,0.776653,0.213604
15,"['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)']",0.154,0.1956,0.1354,0.879221,0.785725,0.194211
16,"['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1544,0.1988,0.1354,0.876943,0.779015,0.203857
17,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.174,0.1956,0.1524,0.875862,0.827502,0.099448
18,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1988,0.211,0.174,0.875252,0.849948,0.051739
19,"['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1242,0.174,0.1084,0.872786,0.747888,0.262381
20,"['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1152,0.1646,0.1002,0.869792,0.73927,0.275056
21,"['Shawshank Redemption, The (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1342,0.1988,0.1166,0.868852,0.727685,0.298521
22,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1368,0.1988,0.1188,0.868421,0.733003,0.285978
23,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1622,0.2246,0.1408,0.868064,0.747478,0.253659
24,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1172,0.1658,0.1014,0.865188,0.738384,0.267621
25,"['Lord of the Rings: The Return of the King, The (2003)', 'Forrest Gump (1994)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.123,0.174,0.1064,0.865041,0.738267,0.267576
26,"['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1658,0.1988,0.1434,0.864897,0.793112,0.149186
27,"['Lord of the Rings: The Return of the King, The (2003)', 'Fight Club (1999)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1192,0.174,0.103,0.864094,0.728024,0.288118
28,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1398,0.1894,0.1208,0.864092,0.750948,0.238004
29,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1238,0.1806,0.1062,0.857835,0.722938,0.286579
30,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1278,0.1658,0.1096,0.85759,0.759313,0.206522
31,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1172,0.1646,0.1,0.853242,0.730387,0.260726
32,"['Matrix, The (1999)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1448,0.1894,0.1234,0.85221,0.75187,0.211575
33,"['Lord of the Rings: The Two Towers, The (2002)', 'Fight Club (1999)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1232,0.1658,0.1046,0.849026,0.739953,0.23102
34,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1278,0.1646,0.1084,0.8482,0.753383,0.2
35,"['Pulp Fiction (1994)', 'Lord of the Rings: The Two Towers, The (2002)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.12,0.1658,0.1014,0.845,0.72829,0.248373
36,"['Lord of the Rings: The Return of the King, The (2003)', 'Fight Club (1999)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1192,0.1658,0.1006,0.84396,0.725358,0.252711
37,"['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1242,0.1658,0.1048,0.8438,0.737943,0.224622
38,['Star Wars: Episode V - The Empire Strikes Back (1980)'],['Star Wars: Episode IV - A New Hope (1977)'],0.2246,0.2844,0.1894,0.843277,0.75462,0.187109
39,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1956,0.211,0.1646,0.841513,0.810804,0.063636
40,"['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.154,0.1646,0.1294,0.84026,0.813204,0.056025
41,"['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1544,0.174,0.1294,0.838083,0.79088,0.098492
42,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1238,0.1278,0.1036,0.836834,0.823738,0.027027
43,"['Lord of the Rings: The Two Towers, The (2002)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1232,0.1646,0.103,0.836039,0.730899,0.224026
44,"['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1242,0.154,0.1038,0.835749,0.754887,0.170872
45,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']",0.12,0.1544,0.1002,0.835,0.741982,0.197474
46,"['Terminator 2: Judgment Day (1991)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1254,0.1864,0.1046,0.834131,0.697645,0.294402
47,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1864,0.2246,0.1552,0.832618,0.761812,0.149335
48,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1362,0.1956,0.1134,0.832599,0.706177,0.271978
49,"['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1658,0.1956,0.138,0.832328,0.768925,0.133393
50,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Back to the Future (1985)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1252,0.1864,0.1042,0.832268,0.69564,0.295082
51,"['Shawshank Redemption, The (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1342,0.1956,0.1116,0.831595,0.701073,0.281393
52,"['Shawshank Redemption, The (1994)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.126,0.1646,0.1046,0.830159,0.732819,0.207527
53,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)']",0.1956,0.1988,0.1622,0.829243,0.822569,0.013781
54,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1324,0.1956,0.1096,0.827795,0.694061,0.289377
55,"['Jurassic Park (1993)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1252,0.1864,0.1036,0.827476,0.691635,0.294231
56,"['Shawshank Redemption, The (1994)', 'Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1266,0.174,0.1046,0.826224,0.713687,0.241837
57,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)']",0.211,0.1988,0.174,0.824645,0.849948,0.051739
58,"['Jurassic Park (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.126,0.1894,0.1036,0.822222,0.684606,0.299339
59,"['Lord of the Rings: The Two Towers, The (2002)', 'Forrest Gump (1994)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1296,0.1646,0.1064,0.820988,0.733702,0.186368
60,"['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1222,0.1622,0.1002,0.819967,0.718862,0.217155
61,"['Lord of the Rings: The Return of the King, The (2003)', 'Forrest Gump (1994)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.123,0.1658,0.1008,0.819512,0.713736,0.22766
62,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.1894,0.2342,0.1552,0.81943,0.741055,0.166915
63,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1238,0.154,0.1014,0.819063,0.738752,0.171202
64,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1368,0.1956,0.112,0.818713,0.695655,0.266788
65,"['Lord of the Rings: The Two Towers, The (2002)', 'Forrest Gump (1994)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1296,0.1658,0.106,0.817901,0.728612,0.19113
66,"['Shawshank Redemption, The (1994)', 'Lord of the Rings: The Two Towers, The (2002)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.126,0.1658,0.103,0.81746,0.719345,0.210805
67,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)']",0.1988,0.1956,0.1622,0.815895,0.822569,0.013781
68,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1806,0.2246,0.1472,0.815061,0.735224,0.170543
69,['Beauty and the Beast (1991)'],['Aladdin (1992)'],0.1492,0.1884,0.1214,0.813673,0.729024,0.181314
70,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']",0.1278,0.1544,0.1038,0.812207,0.742244,0.149103
71,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1278,0.1238,0.1036,0.810642,0.823738,0.027027
72,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.1602,0.2342,0.1298,0.810237,0.682232,0.279667
73,"['Pulp Fiction (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1496,0.2246,0.121,0.808824,0.67378,0.296209
74,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1238,0.1622,0.1,0.807754,0.712139,0.206452
75,"['Lord of the Rings: The Return of the King, The (2003)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1242,0.1434,0.1002,0.806763,0.752754,0.114695
76,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1362,0.154,0.1096,0.804699,0.758193,0.09856
77,['Mission: Impossible (1996)'],['Independence Day (a.k.a. ID4) (1996)'],0.1616,0.215,0.1298,0.803218,0.703469,0.21637
78,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Forrest Gump (1994)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1366,0.1894,0.1096,0.802343,0.690506,0.243993
79,"['Star Wars: Episode IV - A New Hope (1977)', 'Back to the Future (1985)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1302,0.1698,0.1042,0.800307,0.706985,0.202247
80,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1622,0.1658,0.1294,0.797781,0.789119,0.018127
81,"['Terminator 2: Judgment Day (1991)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Terminator, The (1984)']",0.1254,0.1518,0.1,0.797448,0.728105,0.148984
82,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Indiana Jones and the Last Crusade (1989)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1298,0.1894,0.1034,0.79661,0.671272,0.276182
83,['Star Wars: Episode VI - Return of the Jedi (1983)'],['Star Wars: Episode IV - A New Hope (1977)'],0.2342,0.2844,0.1864,0.795901,0.725658,0.151114
84,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1362,0.1622,0.1084,0.795888,0.7321,0.136842
85,"['Pulp Fiction (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1276,0.154,0.1014,0.794671,0.726557,0.146504
86,"['Matrix, The (1999)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1516,0.2246,0.12,0.791557,0.66292,0.284934
87,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.155,0.2246,0.1226,0.790968,0.668413,0.270817
88,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1324,0.154,0.1046,0.79003,0.734625,0.118812
89,"['Forrest Gump (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1388,0.1864,0.1096,0.789625,0.688804,0.220779
90,"['Lord of the Rings: The Return of the King, The (2003)']","['Matrix, The (1999)']",0.1956,0.2876,0.1544,0.789366,0.663112,0.279805
91,"['Terminator 2: Judgment Day (1991)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1328,0.1698,0.1046,0.787651,0.701835,0.186869
92,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1534,0.1864,0.1208,0.787484,0.717777,0.150685
93,"['Jurassic Park (1993)', 'True Lies (1994)']",['Speed (1994)'],0.1298,0.1704,0.1022,0.787365,0.693565,0.205051
94,['Pirates of the Caribbean: The Curse of the Black Pearl (2003)'],"['Lord of the Rings: The Two Towers, The (2002)']",0.1316,0.1988,0.1036,0.787234,0.654181,0.296296
95,"['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1646,0.154,0.1294,0.786148,0.813204,0.056025
96,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)']",0.211,0.2876,0.1658,0.785782,0.681138,0.230168
97,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1278,0.1602,0.1004,0.785603,0.70616,0.172708
98,"['Pulp Fiction (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1338,0.1864,0.105,0.784753,0.674029,0.244424
99,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.1622,0.2342,0.1272,0.784217,0.663671,0.267459
100,"['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1278,0.138,0.1002,0.784038,0.755062,0.061594
101,['Pirates of the Caribbean: The Curse of the Black Pearl (2003)'],"['Lord of the Rings: The Return of the King, The (2003)']",0.1316,0.1956,0.103,0.782675,0.65463,0.285459
102,"['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1658,0.1622,0.1294,0.780458,0.789119,0.018127
103,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)']",0.211,0.1956,0.1646,0.780095,0.810804,0.063636
104,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1362,0.1602,0.1062,0.779736,0.721329,0.126183
105,"['Shawshank Redemption, The (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1342,0.1622,0.1046,0.779434,0.712158,0.145985
106,"['Lord of the Rings: The Return of the King, The (2003)']","['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1956,0.174,0.1524,0.779141,0.827502,0.099448
107,"['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.159,0.2246,0.1238,0.778616,0.664909,0.252502
108,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1552,0.2184,0.1208,0.778351,0.665733,0.25
109,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1324,0.1622,0.103,0.777946,0.706482,0.155532
110,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1368,0.1622,0.1064,0.777778,0.716879,0.13188
