id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,kulczynski,imbalance_ratio
111,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)']",0.1894,0.2876,0.1472,0.777191,0.644506,0.297756
112,"['Silence of the Lambs, The (1991)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1484,0.2246,0.1152,0.77628,0.644596,0.295578
113,['Dumb & Dumber (Dumb and Dumber) (1994)'],['Ace Ventura: Pet Detective (1994)'],0.1398,0.1632,0.1084,0.775393,0.719804,0.120247
114,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1368,0.154,0.106,0.774854,0.731583,0.093074
115,"['Lord of the Rings: The Two Towers, The (2002)']","['Matrix, The (1999)']",0.1988,0.2876,0.154,0.774648,0.655057,0.267148
116,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1472,0.2184,0.1138,0.773098,0.64708,0.282764
117,"['Fugitive, The (1993)', 'True Lies (1994)']",['Batman (1989)'],0.1294,0.1972,0.1,0.772798,0.639949,0.299206
118,"['Pulp Fiction (1994)', 'True Lies (1994)']",['Batman (1989)'],0.1416,0.1972,0.1094,0.772599,0.663683,0.242371
119,"['Jurassic Park (1993)', 'Speed (1994)']","['Fugitive, The (1993)']",0.1406,0.2068,0.1086,0.772404,0.648775,0.277219
120,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.1864,0.1234,0.770287,0.716152,0.117384
121,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']",0.1362,0.1544,0.1048,0.769457,0.724106,0.097955
122,"['Fugitive, The (1993)', 'Batman (1989)']",['True Lies (1994)'],0.13,0.1824,0.1,0.769231,0.658739,0.246704
123,"['Pulp Fiction (1994)', 'Forrest Gump (1994)']","['Silence of the Lambs, The (1991)']",0.2148,0.3134,0.165,0.768156,0.64732,0.271476
124,"['Terminator, The (1984)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1518,0.2246,0.1166,0.768116,0.64363,0.280216
125,"['Shawshank Redemption, The (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1342,0.154,0.103,0.767511,0.718171,0.106911
126,"['Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1988,0.1646,0.1524,0.7666,0.84624,0.162085
127,['Die Hard: With a Vengeance (1995)'],['Batman (1989)'],0.1494,0.1972,0.1144,0.76573,0.672926,0.205857
128,['Memento (2000)'],['Fight Club (1999)'],0.1562,0.2238,0.1196,0.765685,0.650046,0.259601
129,"['Pulp Fiction (1994)', 'Matrix, The (1999)']",['Fight Club (1999)'],0.1644,0.2238,0.1256,0.76399,0.662602,0.2262
130,"['Batman (1989)', 'Apollo 13 (1995)']",['Dances with Wolves (1990)'],0.1332,0.189,0.1016,0.762763,0.650165,0.252947
131,"['Jurassic Park (1993)', 'Batman (1989)']","['Fugitive, The (1993)']",0.1374,0.2068,0.1048,0.762737,0.634753,0.289891
132,['Jurassic Park (1993)'],['Forrest Gump (1994)'],0.2644,0.3396,0.2014,0.761725,0.677388,0.186786
133,"['Pulp Fiction (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1338,0.1806,0.1018,0.760837,0.662257,0.220132
134,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1362,0.1172,0.1036,0.760646,0.822303,0.126836
135,"['Jurassic Park (1993)', 'Braveheart (1995)']",['Terminator 2: Judgment Day (1991)'],0.152,0.2306,0.1156,0.760526,0.630914,0.294382
136,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Fight Club (1999)']","['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']",0.1324,0.1544,0.1006,0.759819,0.705686,0.118153
137,"['Terminator 2: Judgment Day (1991)', 'Star Wars: Episode IV - A New Hope (1977)']","['Terminator, The (1984)']",0.1328,0.1518,0.1008,0.759036,0.711534,0.103373
138,"['Silence of the Lambs, The (1991)', 'Dances with Wolves (1990)']","['Fugitive, The (1993)']",0.1354,0.2068,0.1024,0.756278,0.625721,0.297748
139,"['Jurassic Park (1993)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.137,0.1698,0.1036,0.756204,0.683167,0.161417
140,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1698,0.2184,0.1284,0.756184,0.672048,0.187067
141,['Star Wars: Episode V - The Empire Strikes Back (1980)'],['Star Wars: Episode VI - Return of the Jedi (1983)'],0.2246,0.2342,0.1698,0.756011,0.740516,0.033218
142,['Stargate (1994)'],['Batman (1989)'],0.1348,0.1972,0.1016,0.753709,0.634461,0.270833
143,['Die Hard: With a Vengeance (1995)'],['True Lies (1994)'],0.1494,0.1824,0.1126,0.753681,0.685503,0.150547
144,"['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.159,0.2342,0.1194,0.750943,0.630382,0.274653
145,"['Matrix, The (1999)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1516,0.1894,0.1138,0.75066,0.675752,0.166373
146,"['Shawshank Redemption, The (1994)', 'Forrest Gump (1994)']",['Pulp Fiction (1994)'],0.2124,0.326,0.1594,0.750471,0.619714,0.299736
147,"['Forrest Gump (1994)', 'Batman (1989)']",['Apollo 13 (1995)'],0.1356,0.208,0.1016,0.749263,0.618862,0.299174
148,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1602,0.2184,0.12,0.749064,0.649258,0.225058
149,"['Pulp Fiction (1994)', 'Jurassic Park (1993)']",['Terminator 2: Judgment Day (1991)'],0.1728,0.2306,0.1294,0.748843,0.654994,0.210949
150,"['Matrix, The (1999)', 'Star Wars: Episode VI - Return of the Jedi (1983)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1448,0.2184,0.1084,0.748619,0.622478,0.288854
151,"['Fugitive, The (1993)']","['Silence of the Lambs, The (1991)']",0.2068,0.3134,0.1546,0.747582,0.62044,0.291575
152,"['Pulp Fiction (1994)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)']",['Seven (a.k.a. Se7en) (1995)'],0.1362,0.1988,0.1018,0.74743,0.629751,0.268439
153,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)']",['Indiana Jones and the Last Crusade (1989)'],0.1398,0.1462,0.1044,0.746781,0.730436,0.035242
154,"['Pulp Fiction (1994)', 'Dances with Wolves (1990)']",['Batman (1989)'],0.1468,0.1972,0.1096,0.746594,0.651188,0.215017
155,"['Forrest Gump (1994)', 'Batman (1989)']","['Fugitive, The (1993)']",0.1356,0.2068,0.1012,0.746313,0.617838,0.295191
156,['Indiana Jones and the Last Crusade (1989)'],"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1462,0.1622,0.109,0.745554,0.708782,0.080241
157,['Shrek (2001)'],"['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.165,0.211,0.123,0.745455,0.664196,0.181818
158,"['Usual Suspects, The (1995)']",['Pulp Fiction (1994)'],0.225,0.326,0.1676,0.744889,0.629499,0.263432
159,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1364,0.1864,0.1016,0.744868,0.644966,0.22604
160,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1622,0.1698,0.1208,0.74476,0.728093,0.035985
161,['Fight Club (1999)'],"['Matrix, The (1999)']",0.2238,0.2876,0.1666,0.744415,0.661846,0.185035
162,['Indiana Jones and the Last Crusade (1989)'],"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1462,0.1534,0.1088,0.744186,0.726722,0.037736
163,['Speed (1994)'],['Terminator 2: Judgment Day (1991)'],0.1704,0.2306,0.1268,0.744131,0.647,0.219548
164,"['Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']",0.174,0.1544,0.1294,0.743678,0.79088,0.098492
165,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1894,0.2184,0.1408,0.7434,0.694044,0.108614
166,"['Fugitive, The (1993)', 'Terminator 2: Judgment Day (1991)']",['Speed (1994)'],0.1362,0.1704,0.1012,0.743025,0.668461,0.166504
167,"['Pulp Fiction (1994)', 'Shawshank Redemption, The (1994)']","['Silence of the Lambs, The (1991)']",0.2192,0.3134,0.1628,0.742701,0.631082,0.254732
168,['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],['Star Wars: Episode IV - A New Hope (1977)'],0.2184,0.2844,0.1622,0.742674,0.656498,0.193776
169,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1364,0.1806,0.1012,0.741935,0.651145,0.204819
170,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1534,0.1806,0.1138,0.741851,0.685987,0.123524
171,"['Pulp Fiction (1994)', 'True Lies (1994)']","['Fugitive, The (1993)']",0.1416,0.2068,0.105,0.741525,0.624631,0.267872
172,"['Pulp Fiction (1994)', 'Silence of the Lambs, The (1991)']",['Forrest Gump (1994)'],0.2226,0.3396,0.165,0.74124,0.613553,0.294562
173,"['Forrest Gump (1994)', 'Speed (1994)']","['Fugitive, The (1993)']",0.139,0.2068,0.103,0.741007,0.619536,0.279242
174,"['Jurassic Park (1993)', 'Apollo 13 (1995)']","['Fugitive, The (1993)']",0.1382,0.2068,0.1024,0.740955,0.618059,0.28277
175,"['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1354,0.1362,0.1002,0.74003,0.737856,0.004667
176,"['Fugitive, The (1993)', 'Forrest Gump (1994)']",['Terminator 2: Judgment Day (1991)'],0.1512,0.2306,0.1116,0.738095,0.611025,0.293856
177,['Terminator 2: Judgment Day (1991)'],['Forrest Gump (1994)'],0.2306,0.3396,0.1702,0.738075,0.619627,0.2725
178,['Indiana Jones and the Last Crusade (1989)'],"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1462,0.1894,0.1078,0.737346,0.653256,0.18964
179,"['Forrest Gump (1994)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)']",0.1368,0.1544,0.1008,0.736842,0.694846,0.092437
180,"['Jurassic Park (1993)', 'Apollo 13 (1995)']","['Silence of the Lambs, The (1991)', 'Forrest Gump (1994)']",0.1382,0.2124,0.1018,0.736614,0.607949,0.298232
181,"['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.1362,0.1354,0.1002,0.735683,0.737856,0.004667
182,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1398,0.1806,0.1028,0.735336,0.652275,0.1875
183,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1398,0.1602,0.1028,0.735336,0.688517,0.103448
184,"['Seven (a.k.a. Se7en) (1995)', 'Forrest Gump (1994)']","['Pulp Fiction (1994)', 'Silence of the Lambs, The (1991)']",0.1478,0.2226,0.1086,0.734777,0.611324,0.285714
185,"['Jurassic Park (1993)', 'Fugitive, The (1993)']",['Speed (1994)'],0.1478,0.1704,0.1086,0.734777,0.686051,0.107824
186,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Indiana Jones and the Last Crusade (1989)'],0.1408,0.1462,0.1034,0.734375,0.720813,0.029412
187,"['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)', 'Forrest Gump (1994)']",['Terminator 2: Judgment Day (1991)'],0.1528,0.2306,0.1122,0.734293,0.610425,0.286873
188,"['Silence of the Lambs, The (1991)', 'Apollo 13 (1995)']","['Fugitive, The (1993)']",0.1442,0.2068,0.1058,0.733703,0.622654,0.255302
189,"['Jurassic Park (1993)', 'Shawshank Redemption, The (1994)']","['Pulp Fiction (1994)', 'Forrest Gump (1994)']",0.1554,0.2148,0.1138,0.732304,0.63105,0.231669
190,"['Terminator, The (1984)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1518,0.2184,0.111,0.731225,0.619733,0.256944
191,"['Forrest Gump (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1388,0.1806,0.1014,0.730548,0.646005,0.191743
192,['Ace Ventura: Pet Detective (1994)'],['Batman (1989)'],0.1632,0.1972,0.1192,0.730392,0.667427,0.140962
193,"['Pulp Fiction (1994)', 'Batman (1989)']",['Apollo 13 (1995)'],0.1536,0.208,0.112,0.729167,0.633814,0.217949
194,"['Jurassic Park (1993)', 'Batman (1989)']",['Speed (1994)'],0.1374,0.1704,0.1,0.727802,0.657328,0.158807
195,"['Pulp Fiction (1994)', 'True Lies (1994)']",['Apollo 13 (1995)'],0.1416,0.208,0.103,0.727401,0.611297,0.269262
196,"['Jurassic Park (1993)', 'Speed (1994)']",['True Lies (1994)'],0.1406,0.1824,0.1022,0.726885,0.643596,0.189312
197,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.1806,0.1234,0.726737,0.705008,0.047577
198,"['Matrix, The (1999)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Two Towers, The (2002)', 'Star Wars: Episode IV - A New Hope (1977)']",0.138,0.1278,0.1002,0.726087,0.755062,0.061594
199,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.1806,0.2342,0.131,0.72536,0.642356,0.188865
200,['Star Wars: Episode VI - Return of the Jedi (1983)'],['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.2342,0.2246,0.1698,0.725021,0.740516,0.033218
201,"['Matrix, The (1999)', 'Terminator 2: Judgment Day (1991)']","['Terminator, The (1984)']",0.1388,0.1518,0.1006,0.724784,0.693749,0.068421
202,"['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']",['Terminator 2: Judgment Day (1991)'],0.1758,0.2306,0.1274,0.724687,0.638579,0.196416
203,"['Forrest Gump (1994)', 'Fight Club (1999)']","['Pulp Fiction (1994)', 'Matrix, The (1999)']",0.1392,0.1644,0.1008,0.724138,0.668638,0.12426
204,"[""Schindler's List (1993)""]","['Shawshank Redemption, The (1994)']",0.2602,0.3482,0.1882,0.72329,0.631892,0.209424
205,"['Lord of the Rings: The Fellowship of the Ring, The (2001)']","['Lord of the Rings: The Return of the King, The (2003)', 'Lord of the Rings: The Two Towers, The (2002)']",0.211,0.1622,0.1524,0.722275,0.830928,0.221014
206,"['Shawshank Redemption, The (1994)', 'Forrest Gump (1994)']","['Silence of the Lambs, The (1991)']",0.2124,0.3134,0.1534,0.722222,0.605846,0.271214
207,"['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']",['Fight Club (1999)'],0.154,0.2238,0.1112,0.722078,0.609475,0.261815
208,"['Forrest Gump (1994)', 'Braveheart (1995)']",['Jurassic Park (1993)'],0.1788,0.2644,0.129,0.721477,0.604687,0.272438
209,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1472,0.211,0.1062,0.721467,0.612393,0.253175
210,"['Lord of the Rings: The Two Towers, The (2002)']","['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1988,0.1658,0.1434,0.721328,0.793112,0.149186
211,['Terminator 2: Judgment Day (1991)'],['Jurassic Park (1993)'],0.2306,0.2644,0.1662,0.720729,0.674661,0.102798
212,"['Jurassic Park (1993)', 'Shawshank Redemption, The (1994)']",['Terminator 2: Judgment Day (1991)'],0.1554,0.2306,0.112,0.720721,0.603205,0.274453
213,"['Jurassic Park (1993)', 'Shawshank Redemption, The (1994)']","['Silence of the Lambs, The (1991)', 'Forrest Gump (1994)']",0.1554,0.2124,0.112,0.720721,0.624014,0.22283
214,"['Silence of the Lambs, The (1991)', 'Forrest Gump (1994)']",['Jurassic Park (1993)'],0.2124,0.2644,0.1528,0.719397,0.648654,0.160494
215,"['Silence of the Lambs, The (1991)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1484,0.2184,0.1066,0.718329,0.603212,0.269024
216,['True Lies (1994)'],['Batman (1989)'],0.1824,0.1972,0.1308,0.717105,0.690195,0.059486
217,['Dumb & Dumber (Dumb and Dumber) (1994)'],['Batman (1989)'],0.1398,0.1972,0.1002,0.716738,0.612426,0.242399
218,"['Pulp Fiction (1994)', 'Dances with Wolves (1990)']",['Apollo 13 (1995)'],0.1468,0.208,0.1052,0.716621,0.611195,0.245192
219,['Speed (1994)'],"['Fugitive, The (1993)']",0.1704,0.2068,0.1218,0.714789,0.651882,0.142522
220,"['Fugitive, The (1993)']",['Jurassic Park (1993)'],0.2068,0.2644,0.1478,0.7147,0.636851,0.178108
221,"['Pulp Fiction (1994)', 'True Lies (1994)']",['Dances with Wolves (1990)'],0.1416,0.189,0.1012,0.714689,0.625069,0.206626
222,"['Silence of the Lambs, The (1991)', 'Seven (a.k.a. Se7en) (1995)']","['Pulp Fiction (1994)', 'Forrest Gump (1994)']",0.152,0.2148,0.1086,0.714474,0.610031,0.243222
223,"['Pulp Fiction (1994)', 'Apollo 13 (1995)']",['Batman (1989)'],0.1568,0.1972,0.112,0.714286,0.641118,0.166942
224,"['Jurassic Park (1993)', 'Pulp Fiction (1994)']","['Silence of the Lambs, The (1991)', 'Forrest Gump (1994)']",0.1728,0.2124,0.1234,0.71412,0.64755,0.151261
225,['Indiana Jones and the Last Crusade (1989)'],"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)']",0.1462,0.1398,0.1044,0.71409,0.730436,0.035242
226,['Indiana Jones and the Last Crusade (1989)'],"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1462,0.1864,0.1044,0.71409,0.637088,0.176161
227,['Indiana Jones and the Last Crusade (1989)'],"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1462,0.1698,0.1044,0.71409,0.664465,0.111531
228,"['Pulp Fiction (1994)', 'Batman (1989)']",['Dances with Wolves (1990)'],0.1536,0.189,0.1096,0.713542,0.646718,0.151931
229,"['Pulp Fiction (1994)', 'Fight Club (1999)']",['American Beauty (1999)'],0.1472,0.2064,0.105,0.713315,0.611018,0.238134
230,['Star Wars: Episode V - The Empire Strikes Back (1980)'],"['Matrix, The (1999)']",0.2246,0.2876,0.1602,0.713268,0.635146,0.178977
231,"['Matrix, The (1999)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1448,0.211,0.1032,0.712707,0.600904,0.262074
232,"['Pulp Fiction (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1496,0.2184,0.1066,0.712567,0.600331,0.263198
233,"['Pulp Fiction (1994)', 'Batman (1989)']",['True Lies (1994)'],0.1536,0.1824,0.1094,0.71224,0.656011,0.127096
234,"['Matrix, The (1999)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)']",['Fight Club (1999)'],0.1658,0.2238,0.118,0.711701,0.619479,0.213549
235,"['Matrix, The (1999)', 'Lord of the Rings: The Two Towers, The (2002)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode IV - A New Hope (1977)']",0.154,0.1362,0.1096,0.711688,0.758193,0.09856
236,['True Lies (1994)'],['Jurassic Park (1993)'],0.1824,0.2644,0.1298,0.711623,0.601273,0.258675
237,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.1622,0.1208,0.711425,0.728093,0.035985
238,"['Jurassic Park (1993)', 'Speed (1994)']",['Batman (1989)'],0.1406,0.1972,0.1,0.711238,0.609169,0.238015
239,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.1622,0.1138,0.710362,0.705982,0.009588
240,"['Silence of the Lambs, The (1991)']",['Pulp Fiction (1994)'],0.3134,0.326,0.2226,0.710274,0.696548,0.03023
241,['E.T. the Extra-Terrestrial (1982)'],['Back to the Future (1985)'],0.1414,0.1982,0.1004,0.710042,0.6083,0.237458
242,"['Matrix, The (1999)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1448,0.1622,0.1028,0.709945,0.671865,0.085211
243,"['Matrix, The (1999)', 'Star Wars: Episode VI - Return of the Jedi (1983)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1448,0.1534,0.1028,0.709945,0.690044,0.044012
244,['True Lies (1994)'],"['Fugitive, The (1993)']",0.1824,0.2068,0.1294,0.70943,0.667577,0.093918
245,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",['Indiana Jones and the Last Crusade (1989)'],0.1534,0.1462,0.1088,0.709257,0.726722,0.037736
246,"['Jurassic Park (1993)', 'Fugitive, The (1993)']",['Batman (1989)'],0.1478,0.1972,0.1048,0.709066,0.620253,0.205662
247,"['Pulp Fiction (1994)', 'Seven (a.k.a. Se7en) (1995)']","['Usual Suspects, The (1995)']",0.1622,0.225,0.115,0.709001,0.610056,0.230713
248,"['Matrix, The (1999)', 'Fight Club (1999)']","['Lord of the Rings: The Fellowship of the Ring, The (2001)']",0.1666,0.211,0.118,0.708283,0.633763,0.171032
249,"['Jurassic Park (1993)', 'Fugitive, The (1993)']",['True Lies (1994)'],0.1478,0.1824,0.1046,0.707713,0.640589,0.153369
250,"['Terminator, The (1984)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1518,0.1894,0.1074,0.70751,0.637282,0.160821
251,['Indiana Jones and the Last Crusade (1989)'],"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1462,0.1408,0.1034,0.70725,0.720813,0.029412
252,['Terminator 2: Judgment Day (1991)'],['Pulp Fiction (1994)'],0.2306,0.326,0.1628,0.705984,0.602685,0.242255
253,"['Silence of the Lambs, The (1991)', 'Apollo 13 (1995)']","['Jurassic Park (1993)', 'Forrest Gump (1994)']",0.1442,0.2014,0.1018,0.705964,0.605713,0.234619
254,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.155,0.2184,0.1094,0.705806,0.603361,0.240152
